"Name","IP Address","Status","Last Seen","OS","User","MAC","Serial","AD OU"
"HS-120.wmthin.westm.k12.oh.us","10.211.30.44","Connected","2026-01-20_19-48-46","Windows 11 (25H2)","WMTHIN\wwion","54:BF:64:9C:B8:F5","JFFZ0T2","wmthin.westm.k12.oh.us/WM-Devices/HS/1st Floor/HS RM 120"
"HS-SRO.wmthin.westm.k12.oh.us","10.211.66.71","Connected","2026-01-20_19-40-37","Windows 11 (25H2)","WMTHIN\bfuller","CC:D9:AC:F7:4A:AE","System Serial Number","wmthin.westm.k12.oh.us/WM-Devices/HS/Office/HS RM 102B"
"HS-100F.wmthin.westm.k12.oh.us","10.211.30.12","Disconnected","2025-11-26_22-50-13","Windows 11 (25H2)","WMTHIN\jbaker","54:BF:64:99:FE:7F","JF951T2","wmthin.westm.k12.oh.us/WM-Devices/HS/Office/HS RM 100F"
"MS-201B.wmthin.westm.k12.oh.us","10.212.57.1","Connected","2026-01-20_20-22-15","Windows 11 (24H2)","WMTHIN\lriggle","04:D9:F5:AC:BF:5D","200706048","wmthin.westm.k12.oh.us/WM-Devices/MS/2nd Floor/MS RM 201B"
"HS-224.wmthin.westm.k12.oh.us","10.211.30.4","Connected","2026-01-20_20-22-24","Windows 11 (24H2)","WMTHIN\lmurphy","A4:BB:6D:B2:49:1A","BBWSR33","wmthin.westm.k12.oh.us/WM-Devices/HS/2nd Floor/HS RM 224"
"HS230-22.wmthin.westm.k12.oh.us","10.211.30.69","Disconnected","2025-09-26_17-26-09","Windows 10 (22H2)","WMTHIN\wm28mcastro","64:00:6A:7F:B9:3E","7ZHV992","wmthin.westm.k12.oh.us/WM-Devices/HS/HS RM 230"
"MS-Lib.wmthin.westm.k12.oh.us","10.212.30.3","Connected","2026-01-20_20-22-36","Windows 11 (24H2)","WMTHIN\kloyd","FC:34:97:12:15:C5","System Serial Number","wmthin.westm.k12.oh.us/WM-Devices/MS/2nd Floor/MS Library"
"WM-S1M.wmthin.westm.k12.oh.us","192.168.1.6","Disconnected","2025-12-22_18-38-23","Windows 10 (22H2)","WMTHIN\cshawger","70:BC:10:80:8D:EA","023638600353","wmthin.westm.k12.oh.us/WM-Devices/Mobile"
"HS-STEM-LAP2.wmthin.westm.k12.oh.us","10.211.75.125","Disconnected","2025-08-05_18-56-57","Windows 10 (21H2)","None","74:40:BB:20:3D:B5","D2FZDL2","wmthin.westm.k12.oh.us/WM-Devices/HS/Library"
"ESMD-T.wmthin.westm.k12.oh.us","10.213.30.2","Connected","2026-01-20_20-22-18","Windows 11 (24H2)","WMTHIN\keara.davis","B4:E9:B8:29:F0:EB","FZQZS74","wmthin.westm.k12.oh.us/WM-Devices/ES/Classrooms"
"HS-Cafe-1.wmthin.westm.k12.oh.us","10.211.64.40","Connected","2026-01-20_20-22-51","Windows 11 (24H2)","WMTHIN\cafe","90:10:57:A7:8B:86","78XF794","wmthin.westm.k12.oh.us/WM-Devices/HS/HS-Cafe"
"ES-CAFE-1.wmthin.westm.k12.oh.us","10.211.64.140","Connected","2026-01-20_20-22-22","Windows 11 (24H2)","WMTHIN\cafe","90:10:57:A7:23:3A","CBXF794","wmthin.westm.k12.oh.us/WM-Devices/ES/ES-Cafe"
"MS-CAFE-2.wmthin.westm.k12.oh.us","10.211.66.52","Connected","2026-01-20_20-22-14","Windows 11 (24H2)","WMTHIN\cafe","90:10:57:B6:BA:11","D8XF794","wmthin.westm.k12.oh.us/WM-Devices/MS/MS-Cafe"
"MS-CAFE-1.wmthin.westm.k12.oh.us","10.211.64.98","Connected","2026-01-20_20-22-11","Windows 11 (24H2)","WMTHIN\cafe","90:10:57:A6:E1:D6","2RQB794","wmthin.westm.k12.oh.us/WM-Devices/MS/MS-Cafe"
"HSCafe-T.wmthin.westm.k12.oh.us","10.211.64.166","Disconnected","2026-01-20_13-18-59","Windows 11 (24H2)","WMTHIN\cafe","40:C7:3C:7D:58:70","BK39GBX25153R3","wmthin.westm.k12.oh.us/WM-Devices/HS/HS-Cafe"
"AC-108.wmthin.westm.k12.oh.us","10.214.30.11","Disconnected","2025-11-07_17-04-28","Windows 11 (24H2)","WMTHIN\ahoward","A4:BB:6D:46:AF:D7","6YSNF33","wmthin.westm.k12.oh.us/Computers"
"WM-104D.wmthin.westm.k12.oh.us","10.211.30.10","Connected","2026-01-20_20-22-17","Windows 11 (25H2)","WMTHIN\dbanta","24:4B:FE:B9:50:88","System Serial Number","wmthin.westm.k12.oh.us/WM-Devices/IT"
"WM-104D","10.211.56.75","Disconnected","2025-06-06_13-34-08","Windows 11 (24H2)","WM-104D\Tech","24:4B:FE:B9:50:87","System Serial Number",""
"HVAC-01.wmthin.westm.k12.oh.us","10.211.50.6","Connected","2026-01-20_20-22-20","Windows Server 2022","HVAC-01\Veregy","00:15:5D:32:0E:07","1769-1979-2102-3340-0929-0203-99","wmthin.westm.k12.oh.us/Servers"
"HS-SRO.wmthin.westm.k12.oh.us","10.211.30.20","Disconnected","2025-09-24_16-25-09","Windows 11 (24H2)","WMTHIN\bfuller","04:D9:F5:AC:BF:5D","200706048","wmthin.westm.k12.oh.us/Computers"
"HS221-HP03.wmthin.westm.k12.oh.us","10.211.69.33","Disconnected","2025-05-22_13-26-16","Windows 10 (22H2)","WMTHIN\wm25erollins","E0:9D:31:A2:86:00","MXL5191K39","wmthin.westm.k12.oh.us/WM-Devices/HS/2nd Floor/HS RM 221"
"HS-134.wmthin.westm.k12.oh.us","10.211.30.2","Disconnected","2026-01-20_20-07-51","Windows 11 (24H2)","WMTHIN\dvensil","E4:54:E8:4E:3C:77","4NX2FX2","wmthin.westm.k12.oh.us/WM-Devices/HS/1st Floor/HS RM 134"
"PS-01.wmthin.westm.k12.oh.us","10.211.50.23","Connected","2026-01-20_20-22-11","Windows Server 2022","WMTHIN\administrator","00:15:5D:0A:0C:56","4427-9820-8901-8075-2356-4543-46","wmthin.westm.k12.oh.us/Servers"
